report_date,hospital,region,lag7_used,pred_hosp
2025-11-13,Letterkenny University Hospital,West / North-West,12.0,5.636997085097272
2025-11-13,Louth County Hospital,HSE Dublin & North East,0.0,0.1430003219460172
2025-11-13,MRH Mullingar,HSE Dublin & Midlands,22.0,19.215695273159167
2025-11-13,MRH Portlaoise,HSE Dublin & Midlands,2.0,0.0
2025-11-13,MRH Tullamore,HSE Dublin & Midlands,0.0,0.10020135621605775
2025-11-13,Mallow General Hospital,HSE South & South East,0.0,0.0
2025-11-13,Mater Misericordiae University Hospital,Dublin North East,5.0,0.0
2025-11-13,Mayo University Hospital,HSE West & North West,16.0,9.47149327134547
2025-11-13,Mercy University Hospital,HSE South & South East,9.0,0.4055204661493068
2025-11-13,Naas General Hospital,Dublin Midlands,9.0,5.380932839299529
2025-11-13,National Orthopaedic Hospital Cappagh,HSE Dublin & North East,0.0,0.19001632751847808
2025-11-13,Nenagh Hospital,HSE West & North West,0.0,1.4941433456012545
2025-11-13,Our Lady of Lourdes Hospital,HSE Dublin & North East,0.0,0.0
2025-11-13,Our Lady's Hospital Navan,HSE Dublin & North East,0.0,0.0
2025-11-13,Portiuncula University Hospital,HSE West & North West,7.0,5.253176656288809
2025-11-13,Roscommon University Hospital,HSE West & North West,0.0,0.282374283060399
2025-11-13,Sligo University Hospital,HSE West & North West,4.0,0.0
2025-11-13,South Infirmary Victoria University Hospital,HSE South & South East,0.0,0.0
2025-11-13,St Luke's General Hospital Kilkenny,HSE South & South East,24.0,21.216075431802523
2025-11-13,St. Columcille's Hospital,HSE Dublin & North East,0.0,0.0
2025-11-13,St. James's Hospital,HSE Dublin & Midlands,11.0,1.9657760071935986
2025-11-13,St. John's Hospital Limerick,HSE West & North West,0.0,1.5364341885720174
2025-11-13,St. Luke's Radiation Oncology Network,HSE Dublin & North East,0.0,0.013423639221295858
2025-11-13,St. Michael's Hospital,HSE Dublin & North East,0.0,0.0
2025-11-13,St. Vincent's University Hospital,HSE Dublin & North East,42.0,29.04170515883438
2025-11-13,Tallaght University Hospital,HSE Dublin & Midlands,2.0,0.0
2025-11-13,Tipperary University Hospital,HSE South & South East,8.0,4.368788429796116
2025-11-13,UH Kerry,HSE South & South East,23.0,14.303990149447904
2025-11-13,UH Limerick,HSE West & North West,27.0,4.465932287521603
